Tweet,Keyword,tweet_lowercase,tweet_without_stopwords,tweet_stemmed
"Nepal reports 313 new Covid-19 cases, nine deaths According to the Health Ministry, the countrywide death toll has now reached 11,509 and the number of active cases stands at 7,300. ",death toll,"nepal reports 313 new covid-19 cases, nine deaths according to the health ministry, the countrywide death toll has now reached 11,509 and the number of active cases stands at 7,300. ","nepal reports 313 new covid-19 cases , nine deaths according health ministry , countrywide death toll reached 11,509 number active cases stands 7,300 .","nepal report 313 new covid-19 case , nine death accord health ministri , countrywid death toll reach 11,509 number activ case stand 7,300 ."
"UPDATE: The death toll in a landslide that occurred at Kushma Municipality Ward No. 3, in Durlung, Parbat on Saturday night reached eight on Sunday.  — by Agandhar Tiwari",death toll,"update: the death toll in a landslide that occurred at kushma municipality ward no. 3, in durlung, parbat on saturday night reached eight on sunday.  — by agandhar tiwari","update : death toll landslide occurred kushma municipality ward . 3 , durlung , parbat saturday night reached eight sunday . — agandhar tiwari","updat : death toll landslid occur kushma municip ward . 3 , durlung , parbat saturday night reach eight sunday . — agandhar tiwari"
"Nepal reports 1,180 new Covid-19 cases, 19 deaths According to the Health Ministry, the countrywide death toll has now reached 10,984 and the number of active cases stands at 26,202. ",death toll,"nepal reports 1,180 new covid-19 cases, 19 deaths according to the health ministry, the countrywide death toll has now reached 10,984 and the number of active cases stands at 26,202. ","nepal reports 1,180 new covid-19 cases , 19 deaths according health ministry , countrywide death toll reached 10,984 number active cases stands 26,202 .","nepal report 1,180 new covid-19 case , 19 death accord health ministri , countrywid death toll reach 10,984 number activ case stand 26,202 ."
Death toll in Dhankuta accident reaches 15  ,death toll,death toll in dhankuta accident reaches 15  ,death toll dhankuta accident reaches 15,death toll dhankuta accid reach 15
Death toll in India mine collapse rise to 13  ,death toll,death toll in india mine collapse rise to 13  ,death toll india mine collapse rise 13,death toll india mine collaps rise 13
"Timure landslide: Death toll hits 8, 1 still missing (Update) #KathmanduPost ",death toll,"timure landslide: death toll hits 8, 1 still missing (update) #kathmandupost ","timure landslide : death toll hits 8 , 1 still missing ( update ) # kathmandupost","timur landslid : death toll hit 8 , 1 still miss ( updat ) # kathmandupost"
"Death toll from rain induced disaster climbs to 90, Govt pledges Rs 40,000 for kin of victims  ",death toll,"death toll from rain induced disaster climbs to 90, govt pledges rs 40,000 for kin of victims  ","death toll rain induced disaster climbs 90 , govt pledges rs 40,000 kin victims","death toll rain induc disast climb 90 , govt pledg rs 40,000 kin victim"
Death toll from Nuwakot jeep accident reaches three The jeep skidded off the road and fell some 400 metres causing the fatalities. ,death toll,death toll from nuwakot jeep accident reaches three the jeep skidded off the road and fell some 400 metres causing the fatalities. ,death toll nuwakot jeep accident reaches three jeep skidded road fell 400 metres causing fatalities .,death toll nuwakot jeep accid reach three jeep skid road fell 400 metr caus fatal .
"Nepal on Friday reported four more Covid-19 related fatalities, pushing the death toll to 2,771. The country also recorded 112 new cases. ",death toll,"nepal on friday reported four more covid-19 related fatalities, pushing the death toll to 2,771. the country also recorded 112 new cases. ","nepal friday reported four covid-19 related fatalities , pushing death toll 2,771. country also recorded 112 new cases .","nepal friday report four covid-19 relat fatal , push death toll 2,771. countri also record 112 new case ."
Death toll in Bajhang jeep accident reaches 3 #KathmanduPost ,death toll,death toll in bajhang jeep accident reaches 3 #kathmandupost ,death toll bajhang jeep accident reaches 3 # kathmandupost,death toll bajhang jeep accid reach 3 # kathmandupost
Dadeldhura jeep accident: Death toll climbs to 7  ,death toll,dadeldhura jeep accident: death toll climbs to 7  ,dadeldhura jeep accident : death toll climbs 7,dadeldhura jeep accid : death toll climb 7
UPDATE: Death toll in Jajarkot bus accident jumps to 12  ,death toll,update: death toll in jajarkot bus accident jumps to 12  ,update : death toll jajarkot bus accident jumps 12,updat : death toll jajarkot bu accid jump 12
"Nepal reports 8,454 cases as rapid antigen tests added to daily infection tallies According to the Health Ministry, the countrywide death toll has now reached 11,672 and the number of active cases stands at 90,067. ",death toll,"nepal reports 8,454 cases as rapid antigen tests added to daily infection tallies according to the health ministry, the countrywide death toll has now reached 11,672 and the number of active cases stands at 90,067. ","nepal reports 8,454 cases rapid antigen tests added daily infection tallies according health ministry , countrywide death toll reached 11,672 number active cases stands 90,067 .","nepal report 8,454 case rapid antigen test ad daili infect talli accord health ministri , countrywid death toll reach 11,672 number activ case stand 90,067 ."
"CAA protests turn violent in Uttar Pradesh, death toll reaches 16 amid internet shutdown  — via Asia News Network",death toll,"caa protests turn violent in uttar pradesh, death toll reaches 16 amid internet shutdown  — via asia news network","caa protests turn violent uttar pradesh , death toll reaches 16 amid internet shutdown — via asia news network","caa protest turn violent uttar pradesh , death toll reach 16 amid internet shutdown — via asia news network"
"Nepal’s Covid-19 infection tally reaches 139,129 with 3,093 new cases; eight more fatalities take the death toll to 765 Kathmandu Valley recorded 1,702 new infections with 1,431 cases in Kathmandu, 148 in Bhaktapur and 123 in Lalitpur. ",death toll,"nepal’s covid-19 infection tally reaches 139,129 with 3,093 new cases; eight more fatalities take the death toll to 765 kathmandu valley recorded 1,702 new infections with 1,431 cases in kathmandu, 148 in bhaktapur and 123 in lalitpur. ","nepal ’ covid-19 infection tally reaches 139,129 3,093 new cases ; eight fatalities take death toll 765 kathmandu valley recorded 1,702 new infections 1,431 cases kathmandu , 148 bhaktapur 123 lalitpur .","nepal ’ covid-19 infect talli reach 139,129 3,093 new case ; eight fatal take death toll 765 kathmandu valley record 1,702 new infect 1,431 case kathmandu , 148 bhaktapur 123 lalitpur ."
